,ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND)
0,FPT,2025,1,46075510989597,6755645214252,23768377985785,11997831491115,2107939084995,1445717213450,27922162132192,3234647419,15548353983782,3526503466795,0,5600891937741,73997673121789,36101018424847,33917117422503,2183901002344,37896654696942,37893904696942,1929012703454,13205526456323,2750000000,5822598933827,73997673121789,654479702711,9757907901,2238873166859,0,2071074307101,14710691830000,14710691830000,987681080191,601277867861,18320209599285,1066102117874,3785638253320,3422494535673,482857117398,433719282180
1,FPT,2024,4,45535942846453,9315440438884,21785213686808,11381523992803,1856756949030,1197007778928,26464052832167,2509722351,14816131186204,3318095237260,0,5438413518284,71999995678620,36272455573820,34836184067740,1436271506080,35727540104800,35724790104800,1929012703454,11030528671431,2750000000,5933309621004,71999995678620,610379845664,9808117590,1990224486513,0,2033289141535,14710691830000,14710691830000,501115537075,562066755666,14446238451323,1097458206678,3765187625417,3393737969842,381508926294,331646166008
2,FPT,2024,3,42605105704316,7935632407357,19442595123064,11875150699489,2059110974322,1292616500084,24976481427066,897416719,14439270982491,3214141461080,0,5501511121171,67581587131382,32217402904957,30969636903539,1247766001418,35364184226425,35361434226425,1928079706361,11263802921306,2750000000,5671387531825,67581587131382,566097011978,33543915000,2193960954794,0,1785871347912,14604480660000,14604480660000,478259485405,561493915003,14167809581083,1434724678776,3447179472476,3127281986657,398299567069,346824501151
3,FPT,2024,2,40835231143696,6836262549195,19916062543669,10992515047452,1883517781683,1206873221697,24451014484828,298168000,14177576187762,3095902850581,0,5386582674862,65286245628524,32549802380215,31353291224627,1196511155588,32736443248309,32733693248309,1928079706361,9178029915429,2750000000,5250105319906,65286245628524,599121868182,18634400000,2020867809584,0,1689800219262,14604480660000,14604480660000,478494331122,773964458511,16024050830233,1479792163477,3317231255111,2957192860629,367722195710,315647881073
4,FPT,2024,1,37679149034489,6341457504996,18230159723426,10054871366217,1856403641469,1196256798381,24345556013940,0,13814237251681,3415559155234,0,5366724357153,62024705048429,30297604017265,29033182945777,1264421071488,31727101031164,31724351031164,1928079706361,10478838767447,2750000000,4892732884725,62024705048429,628462570207,657520000,1996597949120,0,1626776630590,12699688750000,12699688750000,525148987126,663830151912,15984086694338,1611723437032,3291841329838,2949336301696,372045169185,319672686548
5,FPT,2023,4,36709543350385,8279156683221,16104205358010,9533935053243,1593411075233,1198835180678,23615732701547,0,13643232649898,3367402312269,0,5042420397778,60325276051932,30376921097518,29667280422306,709640675212,29948354954414,29945604954414,1928602158147,8679208502528,2750000000,4958194500693,60325276051932,348405863076,515430000,1724956924671,0,1559995344872,12699688750000,12699688750000,208074996962,602100022731,13837894474107,1283790079129,3389945901107,2830355013038,299779688236,247407205599
6,FPT,2023,3,39531943273981,7153625069795,19618195845890,9819319720327,1757547511785,1183255126184,22580733074663,582878037,13261738918834,3223296628954,0,4529333425055,62112676348644,33707020718946,33050415339821,656605379125,28405655629698,28402905629698,1179064868147,8388775579103,2750000000,4771571633243,62112676348644,419601591333,50546966120,1896440753051,0,1278251861087,12699688750000,12699688750000,172070230363,501875085943,18937892531470,755457584159,3426793863558,2562675236710,289197032318,237407427718
7,FPT,2023,2,38758427341944,6236475101406,20451941376989,9006495599449,2028260743417,1035254520683,21765967171287,729134337,12232267027235,3045169826409,0,4501685335332,60524394513231,31929066630167,31286939836444,642126793723,28595327883064,28592577883064,1179064868147,10666118581988,2750000000,4444671445841,60524394513231,500907002679,50562368657,2178824846894,0,1186162995340,11043316220000,11043316220000,214538478651,601240983383,19307278156994,693010132357,3492345731610,2432093749312,280432794993,228789446693
8,FPT,2023,1,29524492711606,3289424451229,13860719245281,9293933666296,2085309446226,995105902574,21216668704842,1002905644,11983455355040,3257209895051,0,4512159868725,50741161416448,23679982202458,23043504756733,636477445725,27061179213990,27058429213990,1179064868147,9207127401083,2750000000,4472360423478,50741161416448,646447723206,50766311424,2236267337224,0,1134117262506,10970265720000,10970265720000,312845373321,662235154979,12043373564413,715362979924,3516501185403,2364550933343,274630125271,223260548278
9,FPT,2022,4,30933924692832,6440177174268,13036072272619,8510152205706,1965787736563,981735303676,20721483952116,1189922137,12032914964907,3251688307364,0,4149601281921,51655408644948,26312427899207,24534231146586,1778196752621,25342980745741,25340230745741,1179064868147,7704079785679,2750000000,4310620574492,51655408644948,293039400616,882560901,2121118039562,0,1079641024169,10970265720000,10970265720000,1477830333990,491097603761,10904344845014,407944847961,3488252134893,2386837295565,276273436689,225090876189
10,FPT,2022,3,35269474823622,3737291803926,20389025847693,8184661159428,2188156229832,770339782743,19857626692533,1291670151,11384340094228,3360604292956,0,3958794897930,55127101516155,31071333186539,28697860823948,2373472362591,24055768329616,24053018329616,1178175536522,6953169466146,2750000000,4160482918155,55127101516155,378829424777,100614829000,2296513265409,0,709313832999,10970265720000,10970265720000,2082516102387,913352865512,16248169308008,422574249924,3264803928105,2261588722773,249558811430,198477998944
11,FPT,2022,2,37159706261301,5219950154604,21520473393082,7494546042666,2207460290255,717276380694,19135844889005,1505789237,10634895059784,3130048656693,0,3795357179998,56295551150306,32883878002931,30416062290247,2467815712684,23411673147375,23408923147375,1178174776366,6595216750742,2750000000,3852246361310,56295551150306,318135753388,230514320000,2307220887489,0,703060297129,10970265720000,10970265720000,2142433707042,692341801749,19720103859650,437203651887,3125055583508,1997596608809,228050253580,177183560180
12,FPT,2022,1,36617350544580,4825840656865,21606129233008,7635393660172,1841894721430,708092273105,18983948809040,1843371213,10565697032867,3311117191071,0,3728313587632,55601299353620,32641897512034,30137625429078,2504272082956,22959401841586,22956651841586,1178174776366,8244315683289,2750000000,3775623015431,55601299353620,340903447190,300496746655,1949021697571,0,567067242973,9075516490000,9075516490000,2228486463502,613378448097,20476429866972,451674038727,3041553782870,1965581621372,240576957028,187691154423
13,FPT,2021,4,35116784160545,5417845274047,20730720735456,6882319562187,1507342901619,578555687236,18579859430879,2268758773,10398841278372,3100458973524,0,3621268367627,53696643591424,32276466949020,29811587201351,2464879747669,21420176642404,21417426642404,1178174776366,6997849946082,2750000000,3477416153145,53696643591424,400846789036,34762220000,1623315328554,0,574902605021,9075516490000,9075516490000,2296308494046,710658541296,17799441187777,466929099458,2972696947589,1931006629408,219704534928,167244119883
14,FPT,2021,3,30655506375345,5446784083688,16055301795066,6654818353847,1955072057943,543530084801,17589371624276,2574676673,8442954951887,2754826446669,0,3447333732170,48244877999621,27920744789189,25891181819535,2029562969654,20324133210432,20321383210432,1178174776366,6089271019675,2750000000,3340600465277,48244877999621,338658818579,260408900000,2075649392742,0,517940941802,9075516490000,9075516490000,1818552251255,883273527253,15943319237854,508002558873,2819282135701,1797807709833,220362896628,168588399483
15,FPT,2021,2,29634333850918,4978881337221,15532505379957,6675995128182,1849606883871,597345121687,17346167199680,93335081908,8292676926263,2649059504770,0,3327220825730,46980501050598,26922972857653,24989658347910,1933314509743,20057528192945,20054778192945,1176568596721,5900973399171,2750000000,3270651290604,46980501050598,579927721506,235416520000,1975988437987,0,501599626887,9075516490000,9075516490000,1800034282871,918425150837,15361627338629,496238868858,2723167857012,1344680826356,287712999088,326698907178
